series_id,display_name,domain,hierarchy,cause_type,za_codes,denominator_za_codes,measure,unit,legacy_compare_names,legacy_rate_names,include_explorer,include_comparison,sort_order,notes
za_159,Respiratory disease,natural,group,natural,159,,,,,,TRUE,FALSE,159,Direct ZA cause from the final NBD3 database.
za_160,Digestive diseases,natural,group,natural,160,,,,,,TRUE,FALSE,160,Direct ZA cause from the final NBD3 database.
za_161,Genito-urinary diseases,natural,group,natural,161,,,,,,TRUE,FALSE,161,Direct ZA cause from the final NBD3 database.
za_162,Skin diseases,natural,group,natural,162,,,,,,TRUE,FALSE,162,Direct ZA cause from the final NBD3 database.
za_163,Musculo-skeletal diseases,natural,group,natural,163,,,,,,TRUE,FALSE,163,Direct ZA cause from the final NBD3 database.
za_164,Congenital abnormalities,natural,group,natural,164,,,,,,TRUE,FALSE,164,Direct ZA cause from the final NBD3 database.
za_165,Oral diseases,natural,group,natural,165,,,,,,TRUE,FALSE,165,Direct ZA cause from the final NBD3 database.
za_166,Unintentional Injuries,injury,group,injury,166,,,,,,TRUE,FALSE,166,Direct ZA cause from the final NBD3 database.
za_167,Intentional Injuries,injury,group,injury,167,,,,,,TRUE,FALSE,167,Direct ZA cause from the final NBD3 database.
za_168,Comm/Mat/Peri/Nutr,natural,broad,natural,168,,,,,Comm/Mat/Peri/Nutri,TRUE,FALSE,168,Direct ZA cause from the final NBD3 database.
za_169,HIV/AIDS and TB,natural,broad,natural,169,,,,,HIV/AIDS and TB,TRUE,FALSE,169,Direct ZA cause from the final NBD3 database.
za_170,Non-communicable,natural,broad,natural,170,,,,,Non-communicable,TRUE,FALSE,170,Direct ZA cause from the final NBD3 database.
za_171,Injuries,injury,broad,injury,171,,,,,Injuries,TRUE,FALSE,171,Direct ZA cause from the final NBD3 database.
za_172,Total,all_cause,broad,all,172,,,,,Total deaths,TRUE,FALSE,172,Direct ZA cause from the final NBD3 database.
za_173,Inf/para,natural,reporting,natural,173,,,,,,TRUE,FALSE,173,Direct ZA cause from the final NBD3 database.
za_174,Other Type 1,natural,reporting,natural,174,,,,,,TRUE,FALSE,174,Direct ZA cause from the final NBD3 database.
za_175,HIV/AIDS and TB,natural,reporting,natural,175,,,,,,TRUE,FALSE,175,Direct ZA cause from the final NBD3 database.
za_176,Cancers,natural,reporting,natural,176,,,,,Cancer,TRUE,FALSE,176,Direct ZA cause from the final NBD3 database.
za_177,Diabetes,natural,reporting,natural,177,,,,,,TRUE,FALSE,177,Direct ZA cause from the final NBD3 database.
za_178,Cardiovascular,natural,reporting,natural,178,,,,,,TRUE,FALSE,178,Direct ZA cause from the final NBD3 database.
za_179,Other Type 2,natural,reporting,natural,179,,,,,,TRUE,FALSE,179,Direct ZA cause from the final NBD3 database.
za_180,Unintentional injuries,injury,reporting,injury,180,,,,,,TRUE,FALSE,180,Direct ZA cause from the final NBD3 database.
za_181,Intentional injuries,injury,reporting,injury,181,,,,,,TRUE,FALSE,181,Direct ZA cause from the final NBD3 database.
legacy_major_infectious,Major infectious diseases,natural,custom,natural,145,,,,,Major infectious diseases,TRUE,FALSE,2001,Custom sum used to reproduce a legacy VizTool cause series.
legacy_cardio_diabetes,Cardiovascular and diabetes,natural,custom,natural,177;178,,,,,Cardiovascular and diabetes,TRUE,FALSE,2002,Custom sum used to reproduce a legacy VizTool cause series.
legacy_respiratory,Respiratory,natural,custom,natural,146;159,,,,,Respiratory,TRUE,FALSE,2003,Custom sum used to reproduce a legacy VizTool cause series.
legacy_diabetes_endocrine,Diabetes mellitus/other endocrine,natural,custom,natural,153;154,,,,,Diabetes mellitus/other endocrine,TRUE,FALSE,2004,Custom sum used to reproduce a legacy VizTool cause series.
legacy_other_cardiovascular,Other cardiovascular,natural,custom,natural,83;86;87;89;90;91;92,,,,,Other cardiovascular,TRUE,FALSE,2005,Custom sum used to reproduce a legacy VizTool cause series.
hiv_all_causes_deaths,All causes,hiv,comparison,all,172,,deaths,deaths,All causes Number,,FALSE,TRUE,3001,Configured legacy-compatible model-comparison series.
hiv_deaths,HIV/AIDS,hiv,comparison,natural,2,,deaths,deaths,HIV/AIDS Number,,FALSE,TRUE,3002,Configured legacy-compatible model-comparison series.
